group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
append,im-rs-vector-relaxed,80,,,39521720.0,ns,22966
append,im-rs-vector-relaxed,80,,,68759985.0,ns,45932
append,im-rs-vector-relaxed,80,,,107265036.0,ns,68898
append,im-rs-vector-relaxed,80,,,144050760.0,ns,91864
append,im-rs-vector-relaxed,80,,,183115294.0,ns,114830
append,im-rs-vector-relaxed,80,,,220328037.0,ns,137796
append,im-rs-vector-relaxed,80,,,253724280.0,ns,160762
append,im-rs-vector-relaxed,80,,,293203024.0,ns,183728
append,im-rs-vector-relaxed,80,,,327554277.0,ns,206694
append,im-rs-vector-relaxed,80,,,365087575.0,ns,229660
