group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
append,im-rs-vector-relaxed,800,,,42808941.0,ns,3073
append,im-rs-vector-relaxed,800,,,87105438.0,ns,6146
append,im-rs-vector-relaxed,800,,,128077629.0,ns,9219
append,im-rs-vector-relaxed,800,,,175609371.0,ns,12292
append,im-rs-vector-relaxed,800,,,216758609.0,ns,15365
append,im-rs-vector-relaxed,800,,,262125555.0,ns,18438
append,im-rs-vector-relaxed,800,,,305797246.0,ns,21511
append,im-rs-vector-relaxed,800,,,351516338.0,ns,24584
append,im-rs-vector-relaxed,800,,,396042106.0,ns,27657
append,im-rs-vector-relaxed,800,,,439665817.0,ns,30730
