group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
append,pvec-rrbvec-relaxed,60000,,,6973984.0,ns,116
append,pvec-rrbvec-relaxed,60000,,,14295591.0,ns,232
append,pvec-rrbvec-relaxed,60000,,,21734556.0,ns,348
append,pvec-rrbvec-relaxed,60000,,,29716108.0,ns,464
append,pvec-rrbvec-relaxed,60000,,,37146056.0,ns,580
append,pvec-rrbvec-relaxed,60000,,,46998006.0,ns,696
append,pvec-rrbvec-relaxed,60000,,,53801251.0,ns,812
append,pvec-rrbvec-relaxed,60000,,,60499264.0,ns,928
append,pvec-rrbvec-relaxed,60000,,,69067720.0,ns,1044
append,pvec-rrbvec-relaxed,60000,,,76000999.0,ns,1160
