group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
append,pvec-rrbvec-relaxed,600000,,,1080061.0,ns,13
append,pvec-rrbvec-relaxed,600000,,,2155304.0,ns,26
append,pvec-rrbvec-relaxed,600000,,,3322329.0,ns,39
append,pvec-rrbvec-relaxed,600000,,,4616696.0,ns,52
append,pvec-rrbvec-relaxed,600000,,,5939955.0,ns,65
append,pvec-rrbvec-relaxed,600000,,,7048173.0,ns,78
append,pvec-rrbvec-relaxed,600000,,,8239805.0,ns,91
append,pvec-rrbvec-relaxed,600000,,,9751421.0,ns,104
append,pvec-rrbvec-relaxed,600000,,,10691841.0,ns,117
append,pvec-rrbvec-relaxed,600000,,,12411846.0,ns,130
