group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
append,pvec-std,400,,,38695046.0,ns,14925
append,pvec-std,400,,,84230074.0,ns,29850
append,pvec-std,400,,,125776278.0,ns,44775
append,pvec-std,400,,,169753916.0,ns,59700
append,pvec-std,400,,,218208796.0,ns,74625
append,pvec-std,400,,,264942441.0,ns,89550
append,pvec-std,400,,,293428510.0,ns,104475
append,pvec-std,400,,,339092991.0,ns,119400
append,pvec-std,400,,,381186236.0,ns,134325
append,pvec-std,400,,,430282742.0,ns,149250
