group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
append,rbvec,100000,,,42234846.0,ns,39
append,rbvec,100000,,,84547316.0,ns,78
append,rbvec,100000,,,128208674.0,ns,117
append,rbvec,100000,,,171774109.0,ns,156
append,rbvec,100000,,,220331437.0,ns,195
append,rbvec,100000,,,268004175.0,ns,234
append,rbvec,100000,,,304748530.0,ns,273
append,rbvec,100000,,,350641817.0,ns,312
append,rbvec,100000,,,400613728.0,ns,351
append,rbvec,100000,,,456291729.0,ns,390
