group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
append,rrbvec,600,,,53490745.0,ns,4217
append,rrbvec,600,,,105057741.0,ns,8434
append,rrbvec,600,,,159041793.0,ns,12651
append,rrbvec,600,,,213212845.0,ns,16868
append,rrbvec,600,,,268173152.0,ns,21085
append,rrbvec,600,,,326689497.0,ns,25302
append,rrbvec,600,,,377445342.0,ns,29519
append,rrbvec,600,,,431282238.0,ns,33736
append,rrbvec,600,,,485757858.0,ns,37953
append,rrbvec,600,,,544116758.0,ns,42170
