group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
append,std-vec,2000,,,20371183.0,ns,7251
append,std-vec,2000,,,42666402.0,ns,14502
append,std-vec,2000,,,71451784.0,ns,21753
append,std-vec,2000,,,96943129.0,ns,29004
append,std-vec,2000,,,126930563.0,ns,36255
append,std-vec,2000,,,162296969.0,ns,43506
append,std-vec,2000,,,187472404.0,ns,50757
append,std-vec,2000,,,213851297.0,ns,58008
append,std-vec,2000,,,253869468.0,ns,65259
append,std-vec,2000,,,285190935.0,ns,72510
