group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
append,std-vec,40000,,,33862627.0,ns,482
append,std-vec,40000,,,76680814.0,ns,964
append,std-vec,40000,,,154184453.0,ns,1446
append,std-vec,40000,,,248473203.0,ns,1928
append,std-vec,40000,,,190228756.0,ns,2410
append,std-vec,40000,,,130163956.0,ns,2892
append,std-vec,40000,,,152537459.0,ns,3374
append,std-vec,40000,,,172577604.0,ns,3856
append,std-vec,40000,,,205218052.0,ns,4338
append,std-vec,40000,,,248057409.0,ns,4820
