group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_randomly,im-rs-vector-balanced,8000,,,60303357.0,ns,213
index_randomly,im-rs-vector-balanced,8000,,,120110730.0,ns,426
index_randomly,im-rs-vector-balanced,8000,,,180147563.0,ns,639
index_randomly,im-rs-vector-balanced,8000,,,240478655.0,ns,852
index_randomly,im-rs-vector-balanced,8000,,,299587109.0,ns,1065
index_randomly,im-rs-vector-balanced,8000,,,359853958.0,ns,1278
index_randomly,im-rs-vector-balanced,8000,,,421233163.0,ns,1491
index_randomly,im-rs-vector-balanced,8000,,,485111256.0,ns,1704
index_randomly,im-rs-vector-balanced,8000,,,552617481.0,ns,1917
index_randomly,im-rs-vector-balanced,8000,,,610284234.0,ns,2130
