group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_randomly,im-rs-vector-relaxed,400,,,41368200.0,ns,4421
index_randomly,im-rs-vector-relaxed,400,,,82264086.0,ns,8842
index_randomly,im-rs-vector-relaxed,400,,,123492481.0,ns,13263
index_randomly,im-rs-vector-relaxed,400,,,164519451.0,ns,17684
index_randomly,im-rs-vector-relaxed,400,,,207765151.0,ns,22105
index_randomly,im-rs-vector-relaxed,400,,,253496140.0,ns,26526
index_randomly,im-rs-vector-relaxed,400,,,293509525.0,ns,30947
index_randomly,im-rs-vector-relaxed,400,,,338669805.0,ns,35368
index_randomly,im-rs-vector-relaxed,400,,,380987918.0,ns,39789
index_randomly,im-rs-vector-relaxed,400,,,427782243.0,ns,44210
