group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_randomly,im-rs-vector-relaxed,8000,,,54536300.0,ns,191
index_randomly,im-rs-vector-relaxed,8000,,,106955591.0,ns,382
index_randomly,im-rs-vector-relaxed,8000,,,160419215.0,ns,573
index_randomly,im-rs-vector-relaxed,8000,,,213227147.0,ns,764
index_randomly,im-rs-vector-relaxed,8000,,,267316004.0,ns,955
index_randomly,im-rs-vector-relaxed,8000,,,320051394.0,ns,1146
index_randomly,im-rs-vector-relaxed,8000,,,375928557.0,ns,1337
index_randomly,im-rs-vector-relaxed,8000,,,428511573.0,ns,1528
index_randomly,im-rs-vector-relaxed,8000,,,483897530.0,ns,1719
index_randomly,im-rs-vector-relaxed,8000,,,549533196.0,ns,1910
