group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_randomly,pvec-rrbvec-balanced,2000,,,41452378.0,ns,1683
index_randomly,pvec-rrbvec-balanced,2000,,,80601083.0,ns,3366
index_randomly,pvec-rrbvec-balanced,2000,,,127407837.0,ns,5049
index_randomly,pvec-rrbvec-balanced,2000,,,176815695.0,ns,6732
index_randomly,pvec-rrbvec-balanced,2000,,,224802259.0,ns,8415
index_randomly,pvec-rrbvec-balanced,2000,,,283113142.0,ns,10098
index_randomly,pvec-rrbvec-balanced,2000,,,336055244.0,ns,11781
index_randomly,pvec-rrbvec-balanced,2000,,,409095545.0,ns,13464
index_randomly,pvec-rrbvec-balanced,2000,,,468687336.0,ns,15147
index_randomly,pvec-rrbvec-balanced,2000,,,505097379.0,ns,16830
