group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_randomly,pvec-rrbvec-balanced,600,,,40001217.0,ns,5901
index_randomly,pvec-rrbvec-balanced,600,,,77538571.0,ns,11802
index_randomly,pvec-rrbvec-balanced,600,,,121918238.0,ns,17703
index_randomly,pvec-rrbvec-balanced,600,,,171267222.0,ns,23604
index_randomly,pvec-rrbvec-balanced,600,,,223107751.0,ns,29505
index_randomly,pvec-rrbvec-balanced,600,,,279999274.0,ns,35406
index_randomly,pvec-rrbvec-balanced,600,,,331828596.0,ns,41307
index_randomly,pvec-rrbvec-balanced,600,,,379720629.0,ns,47208
index_randomly,pvec-rrbvec-balanced,600,,,445046694.0,ns,53109
index_randomly,pvec-rrbvec-balanced,600,,,484736045.0,ns,59010
