group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_randomly,pvec-rrbvec-relaxed,20000,,,56197063.0,ns,110
index_randomly,pvec-rrbvec-relaxed,20000,,,110575186.0,ns,220
index_randomly,pvec-rrbvec-relaxed,20000,,,171880669.0,ns,330
index_randomly,pvec-rrbvec-relaxed,20000,,,230125129.0,ns,440
index_randomly,pvec-rrbvec-relaxed,20000,,,294999337.0,ns,550
index_randomly,pvec-rrbvec-relaxed,20000,,,360703862.0,ns,660
index_randomly,pvec-rrbvec-relaxed,20000,,,448036533.0,ns,770
index_randomly,pvec-rrbvec-relaxed,20000,,,486480190.0,ns,880
index_randomly,pvec-rrbvec-relaxed,20000,,,546478609.0,ns,990
index_randomly,pvec-rrbvec-relaxed,20000,,,608484731.0,ns,1100
