group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_randomly,pvec-rrbvec-relaxed,40,,,37448371.0,ns,68825
index_randomly,pvec-rrbvec-relaxed,40,,,69782736.0,ns,137650
index_randomly,pvec-rrbvec-relaxed,40,,,110031638.0,ns,206475
index_randomly,pvec-rrbvec-relaxed,40,,,150298189.0,ns,275300
index_randomly,pvec-rrbvec-relaxed,40,,,187388441.0,ns,344125
index_randomly,pvec-rrbvec-relaxed,40,,,222837799.0,ns,412950
index_randomly,pvec-rrbvec-relaxed,40,,,256670500.0,ns,481775
index_randomly,pvec-rrbvec-relaxed,40,,,297042400.0,ns,550600
index_randomly,pvec-rrbvec-relaxed,40,,,333684528.0,ns,619425
index_randomly,pvec-rrbvec-relaxed,40,,,376614237.0,ns,688250
