group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_randomly,pvec-std,10000,,,60420055.0,ns,756
index_randomly,pvec-std,10000,,,117165073.0,ns,1512
index_randomly,pvec-std,10000,,,177418905.0,ns,2268
index_randomly,pvec-std,10000,,,246251687.0,ns,3024
index_randomly,pvec-std,10000,,,327024774.0,ns,3780
index_randomly,pvec-std,10000,,,396128476.0,ns,4536
index_randomly,pvec-std,10000,,,479201746.0,ns,5292
index_randomly,pvec-std,10000,,,562196402.0,ns,6048
index_randomly,pvec-std,10000,,,618478392.0,ns,6804
index_randomly,pvec-std,10000,,,700612317.0,ns,7560
