group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_randomly,rbvec,20,,,73048749.0,ns,242562
index_randomly,rbvec,20,,,128981445.0,ns,485124
index_randomly,rbvec,20,,,184616363.0,ns,727686
index_randomly,rbvec,20,,,242284825.0,ns,970248
index_randomly,rbvec,20,,,315757450.0,ns,1212810
index_randomly,rbvec,20,,,368496930.0,ns,1455372
index_randomly,rbvec,20,,,424709041.0,ns,1697934
index_randomly,rbvec,20,,,493386827.0,ns,1940496
index_randomly,rbvec,20,,,584656429.0,ns,2183058
index_randomly,rbvec,20,,,622250426.0,ns,2425620
