group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_randomly,rbvec,20000,,,39477658.0,ns,157
index_randomly,rbvec,20000,,,74528465.0,ns,314
index_randomly,rbvec,20000,,,120664770.0,ns,471
index_randomly,rbvec,20000,,,175035071.0,ns,628
index_randomly,rbvec,20000,,,270152446.0,ns,785
index_randomly,rbvec,20000,,,299242197.0,ns,942
index_randomly,rbvec,20000,,,351597156.0,ns,1099
index_randomly,rbvec,20000,,,411379548.0,ns,1256
index_randomly,rbvec,20000,,,473294531.0,ns,1413
index_randomly,rbvec,20000,,,509202922.0,ns,1570
