group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_randomly,rrbvec,100000,,,57170918.0,ns,22
index_randomly,rrbvec,100000,,,113226145.0,ns,44
index_randomly,rrbvec,100000,,,171333003.0,ns,66
index_randomly,rrbvec,100000,,,238550660.0,ns,88
index_randomly,rrbvec,100000,,,299272534.0,ns,110
index_randomly,rrbvec,100000,,,373207867.0,ns,132
index_randomly,rrbvec,100000,,,461301155.0,ns,154
index_randomly,rrbvec,100000,,,567701866.0,ns,176
index_randomly,rrbvec,100000,,,588678021.0,ns,198
index_randomly,rrbvec,100000,,,655176869.0,ns,220
