group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_randomly,std-vec,20,,,14975711.0,ns,107974
index_randomly,std-vec,20,,,29520916.0,ns,215948
index_randomly,std-vec,20,,,44438362.0,ns,323922
index_randomly,std-vec,20,,,59593317.0,ns,431896
index_randomly,std-vec,20,,,75035493.0,ns,539870
index_randomly,std-vec,20,,,90722216.0,ns,647844
index_randomly,std-vec,20,,,107415095.0,ns,755818
index_randomly,std-vec,20,,,123715846.0,ns,863792
index_randomly,std-vec,20,,,140978695.0,ns,971766
index_randomly,std-vec,20,,,153773110.0,ns,1079740
