group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_randomly,std-vec,80,,,39986211.0,ns,63853
index_randomly,std-vec,80,,,73655409.0,ns,127706
index_randomly,std-vec,80,,,109228510.0,ns,191559
index_randomly,std-vec,80,,,146954112.0,ns,255412
index_randomly,std-vec,80,,,184735393.0,ns,319265
index_randomly,std-vec,80,,,222311081.0,ns,383118
index_randomly,std-vec,80,,,258703754.0,ns,446971
index_randomly,std-vec,80,,,296812132.0,ns,510824
index_randomly,std-vec,80,,,338261072.0,ns,574677
index_randomly,std-vec,80,,,377574282.0,ns,638530
