group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_sequentially,im-rs-vector-balanced,20000,,,53893511.0,ns,108
index_sequentially,im-rs-vector-balanced,20000,,,104767784.0,ns,216
index_sequentially,im-rs-vector-balanced,20000,,,156457235.0,ns,324
index_sequentially,im-rs-vector-balanced,20000,,,208429546.0,ns,432
index_sequentially,im-rs-vector-balanced,20000,,,265515243.0,ns,540
index_sequentially,im-rs-vector-balanced,20000,,,314826659.0,ns,648
index_sequentially,im-rs-vector-balanced,20000,,,369749985.0,ns,756
index_sequentially,im-rs-vector-balanced,20000,,,425633467.0,ns,864
index_sequentially,im-rs-vector-balanced,20000,,,479604787.0,ns,972
index_sequentially,im-rs-vector-balanced,20000,,,533043504.0,ns,1080
