group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_sequentially,im-rs-vector-relaxed,1000,,,30603712.0,ns,2368
index_sequentially,im-rs-vector-relaxed,1000,,,60088249.0,ns,4736
index_sequentially,im-rs-vector-relaxed,1000,,,89926016.0,ns,7104
index_sequentially,im-rs-vector-relaxed,1000,,,122649500.0,ns,9472
index_sequentially,im-rs-vector-relaxed,1000,,,150845334.0,ns,11840
index_sequentially,im-rs-vector-relaxed,1000,,,182838947.0,ns,14208
index_sequentially,im-rs-vector-relaxed,1000,,,214528652.0,ns,16576
index_sequentially,im-rs-vector-relaxed,1000,,,245031510.0,ns,18944
index_sequentially,im-rs-vector-relaxed,1000,,,278260448.0,ns,21312
index_sequentially,im-rs-vector-relaxed,1000,,,313747784.0,ns,23680
