group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_sequentially,im-rs-vector-relaxed,60,,,9837434.0,ns,62922
index_sequentially,im-rs-vector-relaxed,60,,,19288027.0,ns,125844
index_sequentially,im-rs-vector-relaxed,60,,,28865845.0,ns,188766
index_sequentially,im-rs-vector-relaxed,60,,,40095109.0,ns,251688
index_sequentially,im-rs-vector-relaxed,60,,,50686958.0,ns,314610
index_sequentially,im-rs-vector-relaxed,60,,,61458064.0,ns,377532
index_sequentially,im-rs-vector-relaxed,60,,,72097652.0,ns,440454
index_sequentially,im-rs-vector-relaxed,60,,,83703074.0,ns,503376
index_sequentially,im-rs-vector-relaxed,60,,,95592523.0,ns,566298
index_sequentially,im-rs-vector-relaxed,60,,,105909324.0,ns,629220
