group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_sequentially,pvec-rrbvec-relaxed,4000,,,23747970.0,ns,807
index_sequentially,pvec-rrbvec-relaxed,4000,,,46849006.0,ns,1614
index_sequentially,pvec-rrbvec-relaxed,4000,,,70918718.0,ns,2421
index_sequentially,pvec-rrbvec-relaxed,4000,,,95342393.0,ns,3228
index_sequentially,pvec-rrbvec-relaxed,4000,,,120271462.0,ns,4035
index_sequentially,pvec-rrbvec-relaxed,4000,,,145255605.0,ns,4842
index_sequentially,pvec-rrbvec-relaxed,4000,,,169209634.0,ns,5649
index_sequentially,pvec-rrbvec-relaxed,4000,,,193780640.0,ns,6456
index_sequentially,pvec-rrbvec-relaxed,4000,,,219519855.0,ns,7263
index_sequentially,pvec-rrbvec-relaxed,4000,,,243883541.0,ns,8070
