group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_sequentially,rbvec,1000000,,,27643074.0,ns,5
index_sequentially,rbvec,1000000,,,54647753.0,ns,10
index_sequentially,rbvec,1000000,,,83584952.0,ns,15
index_sequentially,rbvec,1000000,,,111909330.0,ns,20
index_sequentially,rbvec,1000000,,,140269144.0,ns,25
index_sequentially,rbvec,1000000,,,174138034.0,ns,30
index_sequentially,rbvec,1000000,,,197350939.0,ns,35
index_sequentially,rbvec,1000000,,,225890360.0,ns,40
index_sequentially,rbvec,1000000,,,253673082.0,ns,45
index_sequentially,rbvec,1000000,,,280121707.0,ns,50
