group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_sequentially,rbvec,60000,,,26832015.0,ns,77
index_sequentially,rbvec,60000,,,54892266.0,ns,154
index_sequentially,rbvec,60000,,,79118935.0,ns,231
index_sequentially,rbvec,60000,,,104384530.0,ns,308
index_sequentially,rbvec,60000,,,131729112.0,ns,385
index_sequentially,rbvec,60000,,,165832241.0,ns,462
index_sequentially,rbvec,60000,,,191752203.0,ns,539
index_sequentially,rbvec,60000,,,217393600.0,ns,616
index_sequentially,rbvec,60000,,,246285064.0,ns,693
index_sequentially,rbvec,60000,,,266557282.0,ns,770
