group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_sequentially,rrbvec,40,,,16782616.0,ns,89915
index_sequentially,rrbvec,40,,,27346290.0,ns,179830
index_sequentially,rrbvec,40,,,55537933.0,ns,269745
index_sequentially,rrbvec,40,,,73113450.0,ns,359660
index_sequentially,rrbvec,40,,,90537239.0,ns,449575
index_sequentially,rrbvec,40,,,111600072.0,ns,539490
index_sequentially,rrbvec,40,,,128931772.0,ns,629405
index_sequentially,rrbvec,40,,,146184028.0,ns,719320
index_sequentially,rrbvec,40,,,163481066.0,ns,809235
index_sequentially,rrbvec,40,,,180471230.0,ns,899150
