group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_sequentially,std-vec,20000,,,14282839.0,ns,1048
index_sequentially,std-vec,20000,,,29001987.0,ns,2096
index_sequentially,std-vec,20000,,,42858472.0,ns,3144
index_sequentially,std-vec,20000,,,57350357.0,ns,4192
index_sequentially,std-vec,20000,,,74548622.0,ns,5240
index_sequentially,std-vec,20000,,,86894348.0,ns,6288
index_sequentially,std-vec,20000,,,102034406.0,ns,7336
index_sequentially,std-vec,20000,,,117199302.0,ns,8384
index_sequentially,std-vec,20000,,,132786776.0,ns,9432
index_sequentially,std-vec,20000,,,149312020.0,ns,10480
