group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_sequentially,std-vec,60000,,,16933709.0,ns,414
index_sequentially,std-vec,60000,,,33689001.0,ns,828
index_sequentially,std-vec,60000,,,51131325.0,ns,1242
index_sequentially,std-vec,60000,,,68220577.0,ns,1656
index_sequentially,std-vec,60000,,,85536986.0,ns,2070
index_sequentially,std-vec,60000,,,102248142.0,ns,2484
index_sequentially,std-vec,60000,,,120863018.0,ns,2898
index_sequentially,std-vec,60000,,,139712769.0,ns,3312
index_sequentially,std-vec,60000,,,157928090.0,ns,3726
index_sequentially,std-vec,60000,,,177281493.0,ns,4140
