group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
iterator_next,im-rs-vector-balanced,8000,,,35272380.0,ns,463
iterator_next,im-rs-vector-balanced,8000,,,78002953.0,ns,926
iterator_next,im-rs-vector-balanced,8000,,,113394719.0,ns,1389
iterator_next,im-rs-vector-balanced,8000,,,158375910.0,ns,1852
iterator_next,im-rs-vector-balanced,8000,,,200161719.0,ns,2315
iterator_next,im-rs-vector-balanced,8000,,,237304934.0,ns,2778
iterator_next,im-rs-vector-balanced,8000,,,280525504.0,ns,3241
iterator_next,im-rs-vector-balanced,8000,,,320806210.0,ns,3704
iterator_next,im-rs-vector-balanced,8000,,,372654936.0,ns,4167
iterator_next,im-rs-vector-balanced,8000,,,400923404.0,ns,4630
