group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
iterator_next,im-rs-vector-balanced,800000,,,47469729.0,ns,5
iterator_next,im-rs-vector-balanced,800000,,,88576676.0,ns,10
iterator_next,im-rs-vector-balanced,800000,,,137566854.0,ns,15
iterator_next,im-rs-vector-balanced,800000,,,179799200.0,ns,20
iterator_next,im-rs-vector-balanced,800000,,,228803806.0,ns,25
iterator_next,im-rs-vector-balanced,800000,,,275345125.0,ns,30
iterator_next,im-rs-vector-balanced,800000,,,328496608.0,ns,35
iterator_next,im-rs-vector-balanced,800000,,,367459597.0,ns,40
iterator_next,im-rs-vector-balanced,800000,,,416890537.0,ns,45
iterator_next,im-rs-vector-balanced,800000,,,460824440.0,ns,50
