group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
iterator_next,im-rs-vector-relaxed,100000,,,36416780.0,ns,34
iterator_next,im-rs-vector-relaxed,100000,,,73527806.0,ns,68
iterator_next,im-rs-vector-relaxed,100000,,,106387454.0,ns,102
iterator_next,im-rs-vector-relaxed,100000,,,146615853.0,ns,136
iterator_next,im-rs-vector-relaxed,100000,,,185752004.0,ns,170
iterator_next,im-rs-vector-relaxed,100000,,,216815382.0,ns,204
iterator_next,im-rs-vector-relaxed,100000,,,260772067.0,ns,238
iterator_next,im-rs-vector-relaxed,100000,,,307344676.0,ns,272
iterator_next,im-rs-vector-relaxed,100000,,,345898010.0,ns,306
iterator_next,im-rs-vector-relaxed,100000,,,379875859.0,ns,340
