group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
iterator_next,pvec-rrbvec-balanced,100000,,,52261612.0,ns,52
iterator_next,pvec-rrbvec-balanced,100000,,,102304760.0,ns,104
iterator_next,pvec-rrbvec-balanced,100000,,,166688233.0,ns,156
iterator_next,pvec-rrbvec-balanced,100000,,,228541609.0,ns,208
iterator_next,pvec-rrbvec-balanced,100000,,,278490703.0,ns,260
iterator_next,pvec-rrbvec-balanced,100000,,,335558709.0,ns,312
iterator_next,pvec-rrbvec-balanced,100000,,,394771841.0,ns,364
iterator_next,pvec-rrbvec-balanced,100000,,,444725274.0,ns,416
iterator_next,pvec-rrbvec-balanced,100000,,,501365020.0,ns,468
iterator_next,pvec-rrbvec-balanced,100000,,,565795336.0,ns,520
