group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pop,im-rs-vector-balanced,20,,,26245911.0,ns,132354
pop,im-rs-vector-balanced,20,,,53299099.0,ns,264708
pop,im-rs-vector-balanced,20,,,83049461.0,ns,397062
pop,im-rs-vector-balanced,20,,,112639825.0,ns,529416
pop,im-rs-vector-balanced,20,,,141754643.0,ns,661770
pop,im-rs-vector-balanced,20,,,172013316.0,ns,794124
pop,im-rs-vector-balanced,20,,,201844232.0,ns,926478
pop,im-rs-vector-balanced,20,,,236632709.0,ns,1058832
pop,im-rs-vector-balanced,20,,,265534687.0,ns,1191186
pop,im-rs-vector-balanced,20,,,292051681.0,ns,1323540
