group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pop,im-rs-vector-balanced,200,,,31482207.0,ns,15500
pop,im-rs-vector-balanced,200,,,60848241.0,ns,31000
pop,im-rs-vector-balanced,200,,,92297716.0,ns,46500
pop,im-rs-vector-balanced,200,,,129852767.0,ns,62000
pop,im-rs-vector-balanced,200,,,163879644.0,ns,77500
pop,im-rs-vector-balanced,200,,,204394164.0,ns,93000
pop,im-rs-vector-balanced,200,,,239009290.0,ns,108500
pop,im-rs-vector-balanced,200,,,272843416.0,ns,124000
pop,im-rs-vector-balanced,200,,,308209019.0,ns,139500
pop,im-rs-vector-balanced,200,,,348885520.0,ns,155000
