group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pop,im-rs-vector-relaxed,600,,,26601831.0,ns,3660
pop,im-rs-vector-relaxed,600,,,50862705.0,ns,7320
pop,im-rs-vector-relaxed,600,,,77006948.0,ns,10980
pop,im-rs-vector-relaxed,600,,,103477478.0,ns,14640
pop,im-rs-vector-relaxed,600,,,131342854.0,ns,18300
pop,im-rs-vector-relaxed,600,,,160176342.0,ns,21960
pop,im-rs-vector-relaxed,600,,,192794964.0,ns,25620
pop,im-rs-vector-relaxed,600,,,220512831.0,ns,29280
pop,im-rs-vector-relaxed,600,,,249303702.0,ns,32940
pop,im-rs-vector-relaxed,600,,,281688221.0,ns,36600
