group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pop,pvec-rrbvec-balanced,80,,,48025491.0,ns,52100
pop,pvec-rrbvec-balanced,80,,,101171916.0,ns,104200
pop,pvec-rrbvec-balanced,80,,,149373537.0,ns,156300
pop,pvec-rrbvec-balanced,80,,,219588020.0,ns,208400
pop,pvec-rrbvec-balanced,80,,,284195047.0,ns,260500
pop,pvec-rrbvec-balanced,80,,,337086537.0,ns,312600
pop,pvec-rrbvec-balanced,80,,,392938924.0,ns,364700
pop,pvec-rrbvec-balanced,80,,,450293967.0,ns,416800
pop,pvec-rrbvec-balanced,80,,,500716519.0,ns,468900
pop,pvec-rrbvec-balanced,80,,,556979712.0,ns,521000
