group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pop,pvec-rrbvec-relaxed,80,,,33381960.0,ns,37370
pop,pvec-rrbvec-relaxed,80,,,64116015.0,ns,74740
pop,pvec-rrbvec-relaxed,80,,,99704319.0,ns,112110
pop,pvec-rrbvec-relaxed,80,,,138288434.0,ns,149480
pop,pvec-rrbvec-relaxed,80,,,186037460.0,ns,186850
pop,pvec-rrbvec-relaxed,80,,,229086733.0,ns,224220
pop,pvec-rrbvec-relaxed,80,,,273019281.0,ns,261590
pop,pvec-rrbvec-relaxed,80,,,313009266.0,ns,298960
pop,pvec-rrbvec-relaxed,80,,,357228641.0,ns,336330
pop,pvec-rrbvec-relaxed,80,,,399720556.0,ns,373700
