group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pop_clone,im-rs-vector-balanced,60,,,80821764.0,ns,9846
pop_clone,im-rs-vector-balanced,60,,,162213869.0,ns,19692
pop_clone,im-rs-vector-balanced,60,,,243538001.0,ns,29538
pop_clone,im-rs-vector-balanced,60,,,324825376.0,ns,39384
pop_clone,im-rs-vector-balanced,60,,,408265773.0,ns,49230
pop_clone,im-rs-vector-balanced,60,,,486568867.0,ns,59076
pop_clone,im-rs-vector-balanced,60,,,568248042.0,ns,68922
pop_clone,im-rs-vector-balanced,60,,,650276189.0,ns,78768
pop_clone,im-rs-vector-balanced,60,,,739967683.0,ns,88614
pop_clone,im-rs-vector-balanced,60,,,813864277.0,ns,98460
