group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pop_clone,pvec-rrbvec-balanced,1000,,,80680515.0,ns,1284
pop_clone,pvec-rrbvec-balanced,1000,,,161304407.0,ns,2568
pop_clone,pvec-rrbvec-balanced,1000,,,241971816.0,ns,3852
pop_clone,pvec-rrbvec-balanced,1000,,,322402064.0,ns,5136
pop_clone,pvec-rrbvec-balanced,1000,,,407036113.0,ns,6420
pop_clone,pvec-rrbvec-balanced,1000,,,494363417.0,ns,7704
pop_clone,pvec-rrbvec-balanced,1000,,,573280184.0,ns,8988
pop_clone,pvec-rrbvec-balanced,1000,,,662255501.0,ns,10272
pop_clone,pvec-rrbvec-balanced,1000,,,744325950.0,ns,11556
pop_clone,pvec-rrbvec-balanced,1000,,,827981782.0,ns,12840
