group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pop_clone,pvec-rrbvec-relaxed,100,,,69780292.0,ns,11793
pop_clone,pvec-rrbvec-relaxed,100,,,139540508.0,ns,23586
pop_clone,pvec-rrbvec-relaxed,100,,,211006629.0,ns,35379
pop_clone,pvec-rrbvec-relaxed,100,,,283368821.0,ns,47172
pop_clone,pvec-rrbvec-relaxed,100,,,355401525.0,ns,58965
pop_clone,pvec-rrbvec-relaxed,100,,,428710926.0,ns,70758
pop_clone,pvec-rrbvec-relaxed,100,,,504441257.0,ns,82551
pop_clone,pvec-rrbvec-relaxed,100,,,570143618.0,ns,94344
pop_clone,pvec-rrbvec-relaxed,100,,,646510234.0,ns,106137
pop_clone,pvec-rrbvec-relaxed,100,,,725419322.0,ns,117930
