group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pop_clone,pvec-rrbvec-relaxed,600,,,64293523.0,ns,1801
pop_clone,pvec-rrbvec-relaxed,600,,,131076047.0,ns,3602
pop_clone,pvec-rrbvec-relaxed,600,,,198889852.0,ns,5403
pop_clone,pvec-rrbvec-relaxed,600,,,262568058.0,ns,7204
pop_clone,pvec-rrbvec-relaxed,600,,,330255505.0,ns,9005
pop_clone,pvec-rrbvec-relaxed,600,,,399187545.0,ns,10806
pop_clone,pvec-rrbvec-relaxed,600,,,460655550.0,ns,12607
pop_clone,pvec-rrbvec-relaxed,600,,,533162777.0,ns,14408
pop_clone,pvec-rrbvec-relaxed,600,,,599793593.0,ns,16209
pop_clone,pvec-rrbvec-relaxed,600,,,665296733.0,ns,18010
