group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pop_clone,pvec-std,200,,,87793463.0,ns,7052
pop_clone,pvec-std,200,,,169030319.0,ns,14104
pop_clone,pvec-std,200,,,252646274.0,ns,21156
pop_clone,pvec-std,200,,,338769753.0,ns,28208
pop_clone,pvec-std,200,,,426438641.0,ns,35260
pop_clone,pvec-std,200,,,512082187.0,ns,42312
pop_clone,pvec-std,200,,,599577273.0,ns,49364
pop_clone,pvec-std,200,,,685513526.0,ns,56416
pop_clone,pvec-std,200,,,775394226.0,ns,63468
pop_clone,pvec-std,200,,,859547797.0,ns,70520
