group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pop_clone,rbvec,40,,,73631312.0,ns,46036
pop_clone,rbvec,40,,,153450913.0,ns,92072
pop_clone,rbvec,40,,,219844970.0,ns,138108
pop_clone,rbvec,40,,,307059015.0,ns,184144
pop_clone,rbvec,40,,,378530634.0,ns,230180
pop_clone,rbvec,40,,,455649472.0,ns,276216
pop_clone,rbvec,40,,,538787655.0,ns,322252
pop_clone,rbvec,40,,,608709078.0,ns,368288
pop_clone,rbvec,40,,,685878834.0,ns,414324
pop_clone,rbvec,40,,,759156125.0,ns,460360
