group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pop_clone,rbvec,80,,,74619665.0,ns,21303
pop_clone,rbvec,80,,,150098331.0,ns,42606
pop_clone,rbvec,80,,,226339437.0,ns,63909
pop_clone,rbvec,80,,,303436567.0,ns,85212
pop_clone,rbvec,80,,,379655154.0,ns,106515
pop_clone,rbvec,80,,,453037051.0,ns,127818
pop_clone,rbvec,80,,,538188933.0,ns,149121
pop_clone,rbvec,80,,,604385961.0,ns,170424
pop_clone,rbvec,80,,,703821270.0,ns,191727
pop_clone,rbvec,80,,,776004822.0,ns,213030
