group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pop_clone,rrbvec,60,,,69004114.0,ns,31113
pop_clone,rrbvec,60,,,140772852.0,ns,62226
pop_clone,rrbvec,60,,,216801521.0,ns,93339
pop_clone,rrbvec,60,,,284365667.0,ns,124452
pop_clone,rrbvec,60,,,354472922.0,ns,155565
pop_clone,rrbvec,60,,,446863087.0,ns,186678
pop_clone,rrbvec,60,,,507976381.0,ns,217791
pop_clone,rrbvec,60,,,584856628.0,ns,248904
pop_clone,rrbvec,60,,,665118071.0,ns,280017
pop_clone,rrbvec,60,,,721941170.0,ns,311130
