group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pop_clone,std-vec,20,,,68643605.0,ns,30114
pop_clone,std-vec,20,,,138879809.0,ns,60228
pop_clone,std-vec,20,,,210148958.0,ns,90342
pop_clone,std-vec,20,,,278106165.0,ns,120456
pop_clone,std-vec,20,,,351292785.0,ns,150570
pop_clone,std-vec,20,,,416985254.0,ns,180684
pop_clone,std-vec,20,,,484957264.0,ns,210798
pop_clone,std-vec,20,,,559364002.0,ns,240912
pop_clone,std-vec,20,,,630964125.0,ns,271026
pop_clone,std-vec,20,,,693592118.0,ns,301140
