group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push,im-rs-vector-balanced,400,,,89975886.0,ns,16345
push,im-rs-vector-balanced,400,,,182127253.0,ns,32690
push,im-rs-vector-balanced,400,,,273788131.0,ns,49035
push,im-rs-vector-balanced,400,,,361062294.0,ns,65380
push,im-rs-vector-balanced,400,,,449711681.0,ns,81725
push,im-rs-vector-balanced,400,,,539334726.0,ns,98070
push,im-rs-vector-balanced,400,,,632006183.0,ns,114415
push,im-rs-vector-balanced,400,,,727428366.0,ns,130760
push,im-rs-vector-balanced,400,,,820585380.0,ns,147105
push,im-rs-vector-balanced,400,,,914483318.0,ns,163450
