group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push,im-rs-vector-balanced,6000,,,91253208.0,ns,1071
push,im-rs-vector-balanced,6000,,,180993782.0,ns,2142
push,im-rs-vector-balanced,6000,,,272110122.0,ns,3213
push,im-rs-vector-balanced,6000,,,362525603.0,ns,4284
push,im-rs-vector-balanced,6000,,,453644295.0,ns,5355
push,im-rs-vector-balanced,6000,,,544366980.0,ns,6426
push,im-rs-vector-balanced,6000,,,634699813.0,ns,7497
push,im-rs-vector-balanced,6000,,,726935309.0,ns,8568
push,im-rs-vector-balanced,6000,,,815272915.0,ns,9639
push,im-rs-vector-balanced,6000,,,909752895.0,ns,10710
