group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push,pvec-rrbvec-balanced,20000,,,91049253.0,ns,633
push,pvec-rrbvec-balanced,20000,,,181689681.0,ns,1266
push,pvec-rrbvec-balanced,20000,,,272589607.0,ns,1899
push,pvec-rrbvec-balanced,20000,,,363439491.0,ns,2532
push,pvec-rrbvec-balanced,20000,,,454200821.0,ns,3165
push,pvec-rrbvec-balanced,20000,,,545837109.0,ns,3798
push,pvec-rrbvec-balanced,20000,,,639862304.0,ns,4431
push,pvec-rrbvec-balanced,20000,,,726717273.0,ns,5064
push,pvec-rrbvec-balanced,20000,,,829172196.0,ns,5697
push,pvec-rrbvec-balanced,20000,,,910768144.0,ns,6330
