group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push,pvec-rrbvec-balanced,6000,,,91118165.0,ns,2112
push,pvec-rrbvec-balanced,6000,,,181303959.0,ns,4224
push,pvec-rrbvec-balanced,6000,,,271796150.0,ns,6336
push,pvec-rrbvec-balanced,6000,,,364647010.0,ns,8448
push,pvec-rrbvec-balanced,6000,,,456202760.0,ns,10560
push,pvec-rrbvec-balanced,6000,,,547853257.0,ns,12672
push,pvec-rrbvec-balanced,6000,,,638226318.0,ns,14784
push,pvec-rrbvec-balanced,6000,,,729908061.0,ns,16896
push,pvec-rrbvec-balanced,6000,,,820873636.0,ns,19008
push,pvec-rrbvec-balanced,6000,,,906735583.0,ns,21120
