group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push,pvec-std,400000,,,79065232.0,ns,154
push,pvec-std,400000,,,156692566.0,ns,308
push,pvec-std,400000,,,234963226.0,ns,462
push,pvec-std,400000,,,313109834.0,ns,616
push,pvec-std,400000,,,391640231.0,ns,770
push,pvec-std,400000,,,782967670.0,ns,924
push,pvec-std,400000,,,983071052.0,ns,1078
push,pvec-std,400000,,,940033532.0,ns,1232
push,pvec-std,400000,,,1036950669.0,ns,1386
push,pvec-std,400000,,,1372719199.0,ns,1540
