group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push,std-vec,60000,,,90435324.0,ns,1114
push,std-vec,60000,,,180282486.0,ns,2228
push,std-vec,60000,,,270638847.0,ns,3342
push,std-vec,60000,,,361644504.0,ns,4456
push,std-vec,60000,,,450720627.0,ns,5570
push,std-vec,60000,,,540359456.0,ns,6684
push,std-vec,60000,,,629910290.0,ns,7798
push,std-vec,60000,,,721441183.0,ns,8912
push,std-vec,60000,,,814913295.0,ns,10026
push,std-vec,60000,,,900562996.0,ns,11140
