group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push,std-vec,8000,,,89631548.0,ns,7732
push,std-vec,8000,,,178191546.0,ns,15464
push,std-vec,8000,,,268297858.0,ns,23196
push,std-vec,8000,,,356484320.0,ns,30928
push,std-vec,8000,,,445653339.0,ns,38660
push,std-vec,8000,,,536081007.0,ns,46392
push,std-vec,8000,,,623733045.0,ns,54124
push,std-vec,8000,,,713522472.0,ns,61856
push,std-vec,8000,,,801654438.0,ns,69588
push,std-vec,8000,,,891235075.0,ns,77320
