group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_clone,im-rs-vector-balanced,1000,,,89908105.0,ns,516
push_clone,im-rs-vector-balanced,1000,,,179907114.0,ns,1032
push_clone,im-rs-vector-balanced,1000,,,270969211.0,ns,1548
push_clone,im-rs-vector-balanced,1000,,,361661485.0,ns,2064
push_clone,im-rs-vector-balanced,1000,,,453356314.0,ns,2580
push_clone,im-rs-vector-balanced,1000,,,538553723.0,ns,3096
push_clone,im-rs-vector-balanced,1000,,,630647964.0,ns,3612
push_clone,im-rs-vector-balanced,1000,,,721072225.0,ns,4128
push_clone,im-rs-vector-balanced,1000,,,807448146.0,ns,4644
push_clone,im-rs-vector-balanced,1000,,,898799083.0,ns,5160
