group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_clone,pvec-rrbvec-balanced,20,,,85469108.0,ns,114525
push_clone,pvec-rrbvec-balanced,20,,,170264235.0,ns,229050
push_clone,pvec-rrbvec-balanced,20,,,255369235.0,ns,343575
push_clone,pvec-rrbvec-balanced,20,,,340372970.0,ns,458100
push_clone,pvec-rrbvec-balanced,20,,,425558638.0,ns,572625
push_clone,pvec-rrbvec-balanced,20,,,511223377.0,ns,687150
push_clone,pvec-rrbvec-balanced,20,,,595817070.0,ns,801675
push_clone,pvec-rrbvec-balanced,20,,,686485525.0,ns,916200
push_clone,pvec-rrbvec-balanced,20,,,766452308.0,ns,1030725
push_clone,pvec-rrbvec-balanced,20,,,855877152.0,ns,1145250
