group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_clone,rbvec,6000,,,90403602.0,ns,349
push_clone,rbvec,6000,,,183040792.0,ns,698
push_clone,rbvec,6000,,,275240770.0,ns,1047
push_clone,rbvec,6000,,,366640092.0,ns,1396
push_clone,rbvec,6000,,,457586732.0,ns,1745
push_clone,rbvec,6000,,,553746537.0,ns,2094
push_clone,rbvec,6000,,,640758739.0,ns,2443
push_clone,rbvec,6000,,,724369695.0,ns,2792
push_clone,rbvec,6000,,,814558624.0,ns,3141
push_clone,rbvec,6000,,,905808356.0,ns,3490
