group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_clone,std-vec,400,,,94568659.0,ns,1174
push_clone,std-vec,400,,,188517971.0,ns,2348
push_clone,std-vec,400,,,282800024.0,ns,3522
push_clone,std-vec,400,,,378340531.0,ns,4696
push_clone,std-vec,400,,,466519561.0,ns,5870
push_clone,std-vec,400,,,568042863.0,ns,7044
push_clone,std-vec,400,,,640846200.0,ns,8218
push_clone,std-vec,400,,,741883861.0,ns,9392
push_clone,std-vec,400,,,818567129.0,ns,10566
push_clone,std-vec,400,,,906943630.0,ns,11740
