group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_clone_relaxed,im-rs-vector-balanced,80,,,79131488.0,ns,5701
push_clone_relaxed,im-rs-vector-balanced,80,,,157705477.0,ns,11402
push_clone_relaxed,im-rs-vector-balanced,80,,,237114455.0,ns,17103
push_clone_relaxed,im-rs-vector-balanced,80,,,317503317.0,ns,22804
push_clone_relaxed,im-rs-vector-balanced,80,,,394711808.0,ns,28505
push_clone_relaxed,im-rs-vector-balanced,80,,,473272308.0,ns,34206
push_clone_relaxed,im-rs-vector-balanced,80,,,557317640.0,ns,39907
push_clone_relaxed,im-rs-vector-balanced,80,,,634705085.0,ns,45608
push_clone_relaxed,im-rs-vector-balanced,80,,,711799615.0,ns,51309
push_clone_relaxed,im-rs-vector-balanced,80,,,792769422.0,ns,57010
