group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_clone_relaxed,im-rs-vector-relaxed,10000,,,78868518.0,ns,41
push_clone_relaxed,im-rs-vector-relaxed,10000,,,156943319.0,ns,82
push_clone_relaxed,im-rs-vector-relaxed,10000,,,236674080.0,ns,123
push_clone_relaxed,im-rs-vector-relaxed,10000,,,315224177.0,ns,164
push_clone_relaxed,im-rs-vector-relaxed,10000,,,394912379.0,ns,205
push_clone_relaxed,im-rs-vector-relaxed,10000,,,473035014.0,ns,246
push_clone_relaxed,im-rs-vector-relaxed,10000,,,552666012.0,ns,287
push_clone_relaxed,im-rs-vector-relaxed,10000,,,632220996.0,ns,328
push_clone_relaxed,im-rs-vector-relaxed,10000,,,710641951.0,ns,369
push_clone_relaxed,im-rs-vector-relaxed,10000,,,790228479.0,ns,410
