group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_clone_relaxed,im-rs-vector-relaxed,600,,,76892569.0,ns,701
push_clone_relaxed,im-rs-vector-relaxed,600,,,153611629.0,ns,1402
push_clone_relaxed,im-rs-vector-relaxed,600,,,229797470.0,ns,2103
push_clone_relaxed,im-rs-vector-relaxed,600,,,309373741.0,ns,2804
push_clone_relaxed,im-rs-vector-relaxed,600,,,383711216.0,ns,3505
push_clone_relaxed,im-rs-vector-relaxed,600,,,459497276.0,ns,4206
push_clone_relaxed,im-rs-vector-relaxed,600,,,541119617.0,ns,4907
push_clone_relaxed,im-rs-vector-relaxed,600,,,613987631.0,ns,5608
push_clone_relaxed,im-rs-vector-relaxed,600,,,694527753.0,ns,6309
push_clone_relaxed,im-rs-vector-relaxed,600,,,768669760.0,ns,7010
