group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_clone_relaxed,pvec-rrbvec-balanced,100,,,67574608.0,ns,10953
push_clone_relaxed,pvec-rrbvec-balanced,100,,,127356746.0,ns,21906
push_clone_relaxed,pvec-rrbvec-balanced,100,,,192221519.0,ns,32859
push_clone_relaxed,pvec-rrbvec-balanced,100,,,262142869.0,ns,43812
push_clone_relaxed,pvec-rrbvec-balanced,100,,,325894762.0,ns,54765
push_clone_relaxed,pvec-rrbvec-balanced,100,,,393887845.0,ns,65718
push_clone_relaxed,pvec-rrbvec-balanced,100,,,457954609.0,ns,76671
push_clone_relaxed,pvec-rrbvec-balanced,100,,,525753195.0,ns,87624
push_clone_relaxed,pvec-rrbvec-balanced,100,,,591021866.0,ns,98577
push_clone_relaxed,pvec-rrbvec-balanced,100,,,654887105.0,ns,109530
